"","link","influence","cumsum","rank","color","run","MG","H","model","simname"
"c1.c11","c1.c1",0.633230517855956,82.11,45,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d1.f21","d1.f2",0.649508491795398,81.48,44,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.d31","c3.d3",0.664168078199148,80.83,43,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d1.f31","d1.f3",0.670654144739382,80.16,42,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.b21","b2.b2",0.672521496755226,79.49,41,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.d21","d2.d2",0.679641110868322,78.82,40,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b3.e31","b3.e3",0.708123598810222,78.14,39,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b3.c31","b3.c3",0.720704644694633,77.43,38,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.b31","c1.b3",0.721616651746534,76.71,37,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c2.c21","c2.c2",0.732281729454833,75.99,36,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.b11","c3.b1",0.735729841396932,75.26,35,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"a1.a11","a1.a1",0.740592250595723,74.52,34,"black","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e3.f31","e3.f3",0.742787024405796,73.78,33,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.c21","b2.c2",0.771355677147448,73.04,32,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d1.f11","d1.f1",0.859494585483673,72.27,31,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b1.d31","b1.d3",0.899038910198969,71.41,30,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.c31","c3.c3",0.950016348535088,70.51,29,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f2.g31","f2.g3",0.966533892062064,69.56,28,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"a1.b11","a1.b1",1.01903464061191,68.59,27,"black","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.d31","d3.d3",1.02498484913513,67.57,26,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e3.e31","e3.e3",1.02581972939172,66.55,25,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f1.g31","f1.g3",1.18321357027053,65.52,24,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d1.c11","d1.c1",1.20213385898191,64.34,23,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f1.f11","f1.f1",1.20281400510129,63.14,22,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.d11","c1.d1",1.21804883240661,61.93,21,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"g3.g31","g3.g3",1.22289919949151,60.71,20,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d1.d11","d1.d1",1.58641680044535,59.49,19,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.c11","b2.c1",1.65346244261484,57.91,18,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"a1.b21","a1.b2",1.84929927932006,56.25,17,"black","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f2.f21","f2.f2",1.96378535075732,54.4,16,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f3.g31","f3.g3",1.96463286960144,52.44,15,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.f21","d3.f2",1.98615673447334,50.47,14,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.f31","d3.f3",2.05271931505882,48.49,13,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.f11","d3.f1",2.57480684011279,46.43,12,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.c31","b2.c3",2.63575126761107,43.86,11,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.c11","d3.c1",2.97428591563099,41.22,10,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e2.f21","e2.f2",3.08904574361257,38.25,9,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.e21","b2.e2",3.27244735423617,35.16,8,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f3.f31","f3.f3",3.27743660367722,31.89,7,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b1.e11","b1.e1",3.62503589259305,28.61,6,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e1.f11","e1.f1",3.87738380956791,24.99,5,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b1.c31","b1.c3",4.0142541602492,21.11,4,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.c31","d3.c3",4.50464689784875,17.09,3,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e1.e11","e1.e1",6.11898786843807,12.59,2,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e2.e21","e2.e2",6.47088990085626,6.47,1,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"NCCspr.g12","NCCspr.g1",0.326325809131782,100,88,"pink","Fall",".C10","5","null","H5.sim.null"
